"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
participant_id;registration;;text;"Participant ID";;;;;;;;y;;;;;"Every participant will get a participant ID "
digital_postcpr;registration;;text;"CPR med bindestreg";;"Angiv CPR-nr MED bindestreg (xxxxxx-xxxx)";dk_cpr_dash;;;y;;;;;;;
municipal_code;registration;;text;"3-cifret kommunekode";;"kommunekode (100-999)";integer;100;999;y;;;;;;;
email_eboks;registration;;text;"E-mail (til udsendelse af spørgeskema)";;;email;;;;;;;;;;" @DEFAULT = ""send@openngdp.local"""
send_date;registration;;text;"Sende dato (M-D-Y)";;;date_mdy;;;;;;;;;;
name;registration;;text;Navn;;;;;;y;;;;;;;
status_field;registration;;radio;"Eboks status";"1, Eboks OK | 2, Eboks fysisk post | 3, Ingen Eboks tilknyttet | 4, Anden fejl";;;;;;;;;;;;
status_text_field;registration;;text;"Eboks Status Tekst";;;;;;;;;;;;;
no_consent;registration;;checkbox;"Samtykke tilbagetrukket eller ønsker ikke at deltage";"1, STOP";;;;;;;;;;;;
logo;consent;;descriptive;"<div class=""rich-text-field-label""><div style=""text-align: center;""><img style=""display: block; margin: 0 auto; max-width: 650px; width: 100%; height: auto;"" src=""https://redcap.au.dk/redcap_v15.5.22/DataEntry/image_view.php?pid=11473&id=1427821&doc_id_hash=ed3314702ab9d131b1c6493137fd80653c620628000dce8a7d02bcb538aba89e81feac52c2c6094ad7bc72c957b4799b6232b31ec30d38cd32dcb6eb5d17f63c""></div></div>";;;;;;;;;;;;;
participate;consent;;radio;"Er du villig til at deltage i denne spørgeskemaundersøgelse? ";"1, Ja | 2, Nej";;;;;;;y;LV;;;;
full_stop;consent;;descriptive;"<div class=""rich-text-field-label""><p>Du har valgt ikke at deltage i spørgeskemaundersøgelsen, og derfor afsluttes din besvarelse her. Klik på ""Indsend"" for at bekræfte. Dette gemmer dit svar i vores system og sikrer, at du ikke modtager flere invitationer.</p> <p> </p></div>";;;;;;;"[participate] = '2'";;;;;;
background_start;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Baggrundsinformationer</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;LV;;;;" @HIDDEN-SURVEY @NOW"
gender;dp_next;;radio;"Hvad er dit biologiske køn? ";"1, Mand|2, Kvinde";;;;;;;y;LV;;;;
height;dp_next;;text;"hvor høj er du? (cm)";;"Angiv centimeter højde i cm uden komma";integer;100;250;;;;LV;;;;
weight;dp_next;;text;"Hvor meget vejer du? (kg)";;"Angiv ca. vægt i hele kilo uden komma";integer;15;300;;"[gender] = 1";;LV;;;;
weight_2_female;dp_next;;text;"Hvor meget vejer du? (kg) (Hvis du er gravid, så skriv din ca. vægt inden du blev gravid).";;"Angiv ca. vægt i hele kilo uden komma";integer;15;300;;"[gender] = 2";;LV;;;;
general_health;dp_next;;descriptive;"Har din læge nogensinde fortalt dig, at du har: ";;;;;;;;;;;;;
blood_preasure;dp_next;;radio;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Forhøjet blodtryk</span></p></div>";"1, Ja | 0, Nej";;;;;;;;LV;;;;
cholesterol;dp_next;;radio;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Forhøjet kolesterol</span></p></div>";"1, Ja | 0, Nej";;;;;;;;LV;;;;
weight_20yo;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Baggrundsinformationer</span></p></div>";text;"Hvad vejede du cirka, da du var 20 år gammel?";;"Angiv ca. vægt i hele kilo uden komma (udfyld efter bedste erindring).";integer;30;300;;;;LV;;;;
highest_weight;dp_next;;text;"Hvad er det meste, du nogensinde har vejet?";;"Angiv i hele antal kilo uden komma";integer;20;300;;"[gender] = 1";;LV;;;;
highest_weight_2;dp_next;;text;"Hvad er det meste, du nogensinde har vejet? (Angiv vægt uden perioder med graviditet).";;"Angiv i hele antal kilo uden komma";integer;20;300;;"[gender] = 2";;LV;;;;
time_highest_weight;dp_next;;text;"Hvilket år havde du din højeste vægt?";;;integer;1970;2029;;"[gender] = 1";;LV;;;;
time_highest_weight_2;dp_next;;text;"Hvilket år havde du din højeste vægt?  (Angiv år uden perioder med graviditet).";;;integer;1970;2029;;"[gender] = 2";;LV;;;;
menstruation;dp_next;;radio;"Har du stadig menstruation?";"1, Ja | 0, Nej";;;;;;"([gender]>1) and ([participate] = '1')";;LV;;;;"Information on whether the participant is still experiencing menstruation."
menopause;dp_next;;radio;"Er du gået i overgangsalderen?";"1, Ja | 0, Nej | 99, Ved det ikke";;;;;;"([gender]>1) and ([participate] = '1')";;LV;;;;"Information on whether the participant has entered menopause."
civilstatus;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Baggrundsinformationer</span></p></div>";radio;"Hvad er din civilstatus?";"1, Gift/Samlevende | 2, Partner (ikke sammenlevende) | 3, Enlig | 4, Fraskilt | 5, Enke/enkemand | 6, Ved ikke/vil ikke oplyse";;;;;;;;LV;;;;"The participants civil status"
children_home;dp_next;;radio;"Har du nogle hjemmeboende børn?";"1, Ja | 0, Nej";;;;;;;;LV;;;;"Information on whether the participant has any children living at home."
smoking;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Baggrundsinformationer</span></p></div>";radio;"Ryger du, eller har du nogensinde røget?";"1, Ja, hver dag | 2, Ja, mindst en gang om ugen | 3, Ja, men sjældnere end hver uge | 4, Nej, jeg er stoppet inden for de seneste 12 måneder | 5, Nej, jeg er stoppet for 1-5 år siden | 6, Nej, jeg er stoppet for mere end 5 år siden | 7, Nej, jeg har aldrig røget";;;;;;;;LV;;;;"Information on the participant's smoking status"
nikotine;dp_next;;radio;"Bruger du andre former for nikotinpræparater (fx snus, e-cigaretter, nikotintyggegummi osv.)";"1, Ja, hver dag|2, Ja, mindst en gang om ugen|3, Ja, men sjældnere end hver uge|4, Nej, jeg er stoppet inden for de seneste 12 måneder|5, Nej, jeg er stoppet for 1-5 år siden|6, Nej, jeg er stoppet for mere end 5 år siden|7, Nej, jeg har aldrig brugt nikotinpræparater";;;;;;;;LV;;;;
background_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Selvvurderet Helbred</span></p></div>";text;"end of background start of self-rated health";;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
compl_time_background;dp_next;;calc;;"datediff([background_start],[background_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
intro_sliders;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><strong>Sådan bruger du skyderen i de følgende spørgsmål:</strong></span></p> <p><span style=""font-weight: normal;"">Besvar de næste spørgsmål ved at trække skyderen til det tal, der passer bedst i forhold til hvordan du vurderer din tilstand <em>i dag</em>.</span></p> <p><span style=""font-weight: normal;""><strong>0</strong> betyder <i>værst tænkelige</i>, og <strong>100</strong> betyder <i>bedst tænkelige</i>.</span></p> <p> </p></div>";;;;;;;;;;;;;
physicalhealth;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">hvordan vil du vurdere </span>dit fysiske helbred som det er i dag?</p></div>";;;;;;;;;;;;;
vas_physical;dp_next;;slider;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Angiv på denne skala, hvor god eller dårlig du synes, </span>dit fysiske helbred er i dag<span style=""font-weight: normal;"">. Gør dette ved at trække i skyderen til det punkt på skalaen, der passer bedst.</span></p></div>";"0 (værste tænkelige helbredstilstand) |  | 100 (bedst tænkelige helbredstilstand)";"Træk i skyderen for at angive dit helbred i dag";number;;;;;;LV;;;;
mentalhealth;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvordan vil du vurdere </span>dit mentale helbred som det er i dag?</p></div>";;;;;;;;;;;;;
